time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,new_la_code,old_la_code,la_name,breakdown_topic,breakdown,assess_in_year,assess_issued,assess_issued_pc,assess_not_issued,assess_not_issued_pc,assess_not_made,assess_not_made_pc,assess_withdrawn,assess_withdrawn_pc,outcome_decision_within_time,outcome_decision_over_time,outcome_decision_within_time_pc,outcome_decision_over_time_pc,number_assess_mediation,number_assess_tribunal,number_asssess_mediation_tribunal,number_other_mediation,number_other_tribunal,number_other_mediation_tribunal
2019,Calendar year,National,E92000001,England,,,,,,All EHC needs assessments,All EHC needs assessments,x,53899,x,3368,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
2019,Calendar year,Regional,E92000001,England,E12000001,North East,,,,All EHC needs assessments,All EHC needs assessments,x,2633,x,148,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
2019,Calendar year,Regional,E92000001,England,E12000002,North West,,,,All EHC needs assessments,All EHC needs assessments,x,7769,x,348,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
2019,Calendar year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,All EHC needs assessments,All EHC needs assessments,x,4671,x,320,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
2019,Calendar year,Regional,E92000001,England,E12000004,East Midlands,,,,All EHC needs assessments,All EHC needs assessments,x,3706,x,512,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
2019,Calendar year,Regional,E92000001,England,E12000005,West Midlands,,,,All EHC needs assessments,All EHC needs assessments,x,5096,x,381,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
2019,Calendar year,Regional,E92000001,England,E12000006,East of England,,,,All EHC needs assessments,All EHC needs assessments,x,5485,x,274,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
2019,Calendar year,Regional,E92000001,England,E12000007,London,,,,All EHC needs assessments,All EHC needs assessments,x,9000,x,490,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
2019,Calendar year,Regional,E92000001,England,E12000008,South East,,,,All EHC needs assessments,All EHC needs assessments,x,9511,x,589,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
2019,Calendar year,Regional,E92000001,England,E12000009,South West,,,,All EHC needs assessments,All EHC needs assessments,x,6028,x,306,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
