time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,new_la_code,old_la_code,la_name,breakdown_topic,breakdown,plans_issued_den,plans_issued_den_ex,plans_issued_within_20_weeks,plans_issued_20_weeks_ex,pc_plans_issued_within_20_weeks,PC_plans_issued_20_weeks_ex,plans_issued_gt20weeks_ltYear,plans_issued_gt20weeks_ltYear_ex,pc_plans_issued_gt20weeks_ltYear,PC_plans_issued_gt20weeks_ltYear_ex,plans_issued_gt_1_year,plans_issued_gt_1_year_ex,pc_plans_issued_gt_1_year,PC_plans_issued_gt_1_year_ex
2019,Calendar year,National,E92000001,England,,,,,,All EHC plans issued,All EHC plans issued,53327,49519,31313,29895,58.7,60.4,x,x,x,x,x,x,x,x
2019,Calendar year,Regional,E92000001,England,E12000001,North East,,,,All EHC plans issued,All EHC plans issued,2624,2469,1765,1723,67.3,69.8,x,x,x,x,x,x,x,x
2019,Calendar year,Regional,E92000001,England,E12000002,North West,,,,All EHC plans issued,All EHC plans issued,7742,6973,4564,4191,59,60.1,x,x,x,x,x,x,x,x
2019,Calendar year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,All EHC plans issued,All EHC plans issued,4615,4386,3282,3161,71.1,72.1,x,x,x,x,x,x,x,x
2019,Calendar year,Regional,E92000001,England,E12000004,East Midlands,,,,All EHC plans issued,All EHC plans issued,3634,3422,2464,2358,67.8,68.9,x,x,x,x,x,x,x,x
2019,Calendar year,Regional,E92000001,England,E12000005,West Midlands,,,,All EHC plans issued,All EHC plans issued,5081,4766,2683,2559,52.8,53.7,x,x,x,x,x,x,x,x
2019,Calendar year,Regional,E92000001,England,E12000006,East of England,,,,All EHC plans issued,All EHC plans issued,5404,5050,3431,3283,63.5,65,x,x,x,x,x,x,x,x
2019,Calendar year,Regional,E92000001,England,E12000007,London,,,,All EHC plans issued,All EHC plans issued,8967,7959,5395,5144,60.2,64.6,x,x,x,x,x,x,x,x
2019,Calendar year,Regional,E92000001,England,E12000008,South East,,,,All EHC plans issued,All EHC plans issued,9281,8792,4303,4164,46.4,47.4,x,x,x,x,x,x,x,x
2019,Calendar year,Regional,E92000001,England,E12000009,South West,,,,All EHC plans issued,All EHC plans issued,5979,5702,3426,3312,57.3,58.1,x,x,x,x,x,x,x,x
